from_genius_id,to_genius_id,type
7926443,1534,samples
6728094,98603,samples
8364047,239378,samples
8298043,84976,samples
8404859,600644,samples
8126212,126800,interpolates
8464266,4906284,samples
100856,7092191,samples
8125194,55882,samples
8634150,983992,interpolates
7032576,57225,interpolates
8687594,210627,samples
2836161,2401646,interpolates
8293941,11268,interpolates
7158720,2093060,samples
8519683,55716,interpolates
87337,3063577,samples
4580,3732737,interpolates
4580,388441,interpolates
148,36428,samples
148,852,interpolates
8638649,707749,interpolates
8404857,85859,samples
8197079,2178559,samples
8197079,667,interpolates
49719,6610804,interpolates
51012,7586449,interpolates
8640631,4075077,samples
440,55045,samples
440,2069,interpolates
8663435,45429,samples
7325335,2304073,samples
7643953,85221,interpolates
6998244,1763359,samples
8253434,3539284,samples
7533793,10206080,samples
7533793,6190117,samples
7533793,6889602,samples
7533793,6889602,interpolates
8263065,4924301,interpolates
6797956,268843,interpolates
7614295,3570255,samples
6866266,10096811,samples
6740711,4168754,interpolates
8294618,1496011,samples
5309796,968226,samples
5309796,3958023,interpolates
5309796,1842785,interpolates
8535478,5487669,samples
3035105,86887,samples
6123667,1932032,interpolates
6030243,6653744,samples
6030243,1969234,samples
6030243,3262675,interpolates
7216630,7755489,interpolates
8324985,2827923,interpolates
6590396,9242101,interpolates
7967937,7972831,samples
7371142,3317482,interpolates
8403290,3498916,interpolates
4179007,221487,interpolates
4179007,1406,interpolates
4179007,1724724,interpolates
5197825,168,samples
8464695,1810153,interpolates
8488557,3994241,interpolates
6838492,133137,interpolates
4589199,1834090,samples
8179333,8704479,samples
8681921,8847464,samples
8681919,326768,samples
7188122,6370723,interpolates
6126505,5597826,interpolates
6126505,5452694,interpolates
6126505,5072014,interpolates
51359,6773805,samples
8173026,9970580,samples
3039923,8575131,samples
4248426,5760418,samples
4248426,4254097,samples
4248426,5623312,interpolates
57158,7328750,samples
2412669,2434362,samples
2412669,9777940,samples
2412669,6954565,interpolates
2412669,5334823,interpolates
2412669,3590035,interpolates
8529838,529,samples
8529838,3524480,samples
8529838,529,interpolates
8529838,35653,interpolates
8529838,5037,interpolates
8529838,744,interpolates
3040880,5424865,interpolates
3040880,3441028,interpolates
8558961,3844,samples
2443756,4152118,samples
8475909,243002,interpolates
8662386,7176441,samples
8662386,3052233,samples
8595972,1685209,samples
7137816,8304356,samples
8701253,4608887,samples
8161982,685385,samples
8385134,116531,interpolates
7934569,2911564,interpolates
7934569,4282757,interpolates
8689815,122542,interpolates
8689815,152579,interpolates
8689815,220982,interpolates
8689815,5115671,interpolates
4881650,436937,interpolates
387414,78980,interpolates
8693044,8724426,samples
8693051,33071,interpolates
8693042,8722549,samples
8693053,26923,samples
8693053,1497357,samples
8693053,1444994,interpolates
8693055,116329,interpolates
8642225,731783,interpolates
8681858,6192325,interpolates
8681858,7639111,interpolates
8650679,2173904,interpolates
181934,51359,samples
8721997,8425621,interpolates
7341862,7411519,samples
7341862,11520645,interpolates
8601718,8694308,interpolates
8601718,3844,interpolates
8719887,2478697,samples
3602965,6683277,samples
92021,388728,interpolates
5837391,78706,samples
7686379,3422526,samples
7306981,3439432,samples
8643672,202,interpolates
6009939,316460,samples
8744751,8476485,interpolates
8719683,5305010,interpolates
8742220,8227210,interpolates
8734151,3844,samples
5101082,4105180,interpolates
8718522,2204,samples
3622005,374662,interpolates
8661544,9274371,samples
8661544,8005149,interpolates
4155494,4180627,samples
4155494,2887468,interpolates
4939584,3069158,interpolates
4939584,4635660,interpolates
8513887,173362,samples
8513887,728814,samples
6131378,6551265,interpolates
6131378,607314,interpolates
58988,5828855,interpolates
