index_from,spotifyId_from,trackName_from,artistName_from,releaseDate_from,geniusId_from,geniusTrackName_from,geniusArtistName_from,geniusReleaseDate_from,trackLanguage_from,from_genius_id,to_genius_id,type,index_to,spotifyId_to,trackName_to,artistName_to,releaseDate_to,geniusId_to,geniusTrackName_to,geniusArtistName_to,geniusReleaseDate_to,trackLanguage_to
45.0,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,2021-10-22,7096046,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021-08-13,en,7096046,390693,samples,,,,,,390693,Where’s the Shoorah?,Elton John,1976-10-22,
45.0,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,2021-10-22,7096046,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021-08-13,en,7096046,1059,samples,,,,,,1059,"Rocket Man (I Think It’s Going to Be a Long, Long Time)",Elton John,1972-03-03,en
45.0,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,2021-10-22,7096046,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021-08-13,en,7096046,1059,interpolates,,,,,,1059,"Rocket Man (I Think It’s Going to Be a Long, Long Time)",Elton John,1972-03-03,en
45.0,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,2021-10-22,7096046,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021-08-13,en,7096046,390571,interpolates,,,,,,390571,Sacrifice,Elton John,1989-08-29,
49.0,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,2016-11-25,2851948,Starboy,The Weeknd,2016-09-21,en,2851948,103667,samples,,,,,,103667,Phoenix,A$AP Rocky,2013-01-15,
49.0,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,2016-11-25,2851948,Starboy,The Weeknd,2016-09-21,en,2851948,3134211,interpolates,,,,,,3134211,Ebony,The Weeknd,,
49.0,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,2016-11-25,2851948,Starboy,The Weeknd,2016-09-21,en,2851948,3039459,interpolates,,,,,,3039459,One Blood Ruby (Seven Black Diamonds #2),Melissa Marr (Ft. Melissa Horn),2017-02-28,
49.0,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,2016-11-25,2851948,Starboy,The Weeknd,2016-09-21,en,2851948,2475074,interpolates,,,,,,2475074,Out Here,The Weeknd,,
50.0,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,2022-12-02,8598927,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2022-12-02,en,8598927,1353,samples,,,,,,1353,So Appalled,"Kanye West (Ft. CyHi, JAY-Z, Pusha T, RZA & Swizz Beatz)",2010-09-24,
50.0,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,2022-12-02,8598927,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2022-12-02,en,8598927,6784689,interpolates,,,,,,6784689,Superhero (Original),Future (Ft. Lil Double 0),,
51.0,spotify:track:4ewazQLXFTDC8XvCbhvtXs,Glimpse of Us,Joji,2022-11-04,8078287,Glimpse of Us,Joji,2022-06-10,en,8078287,320138,interpolates,,,,,,320138,I Don’t Want to Miss a Thing,Aerosmith,1998-08-18,
56.0,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,About Damn Time,Lizzo,2022-07-15,7823996,About Damn Time,Lizzo,2022-04-14,en,7823996,64338,samples,,,,,,64338,Turn Up the Music,Chris Brown,2012-02-07,
56.0,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,About Damn Time,Lizzo,2022-07-15,7823996,About Damn Time,Lizzo,2022-04-14,en,7823996,1958097,samples,,,,,,1958097,Hey DJ,The World's Famous Supreme Team,1984-01-01,
61.0,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd,2018-03-30,3614926,I Was Never There,The Weeknd & Gesaffelstein,2018-03-30,en,3614926,1121892,samples,,,,,,1121892,Mirror Maru,Cashmere Cat,2012-10-22,
71.0,spotify:track:7gRFDGEzF9UkBV233yv2dc,Shut Down,BLACKPINK,2022-09-15,8359943,Shut Down,BLACKPINK,2022-09-16,en,8359943,2184825,samples,,,,,,2184825,La Campanella,Niccolò Paganini,1820-01-01,
73.0,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,2022-05-20,7910627,Late Night Talking,Harry Styles,2022-05-20,en,7910627,5215007,interpolates,,,,,,5215007,Levitating,Dua Lipa,2020-03-27,en
75.0,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,VISTA AL MAR,Quevedo,2022-09-09,8357473,Vista Al Mar,Quevedo,2022-09-08,es,8357473,5199386,interpolates,,,,,,5199386,Como Se Siente,JHAYCO,2020-01-24,
81.0,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,Kordhell,2022-01-21,8200803,MURDER IN MY MIND,Kordhell,2022-01-21,en,8200803,6311197,samples,,,,,,6311197,Put The Pistol Point Blank,Player 1 (Memphis) & Bloody Bones,1994-01-03,
81.0,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,Kordhell,2022-01-21,8200803,MURDER IN MY MIND,Kordhell,2022-01-21,en,8200803,7202507,samples,,,,,,7202507,Premeditated,"Lil Slim (Playa Posse) (Ft. Lil E (Playa Posse), Lil Nut, Lil Wako & Playa Posse)",1995-01-01,
82.0,spotify:track:38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,7970911,STAR WALKIN’,Lil Nas X,2022-09-22,en,7970911,8673433,interpolates,,,,,,8673433,Friday Night Lights (Version 4),Lil Nas X,2022-01-01,
82.0,spotify:track:38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,7970911,STAR WALKIN’,Lil Nas X,2022-09-22,en,7970911,8910910,interpolates,,,,,,8910910,Friday Night Lights (Version 1),Lil Nas X,2022-01-01,
82.0,spotify:track:38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,7970911,STAR WALKIN’,Lil Nas X,2022-09-22,en,7970911,9738692,interpolates,,,,,,9738692,Friday Night Lights (Version 5),Lil Nas X,2022-01-01,
83.0,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,2002-05-26,811,Without Me,Eminem,2002-05-14,en,811,148008,interpolates,,,,,,148008,Buffalo Gals,Malcolm McLaren & The World's Famous Supreme Team,1982-11-01,
83.0,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,2002-05-26,811,Without Me,Eminem,2002-05-14,en,811,118576,interpolates,,,,,,118576,Batman 1966 TV intro,Neal Hefti,1966-01-01,
85.0,spotify:track:6OzUIp8KjuwxJnCWkXp1uL,Besos Moja2,Wisin & Yandel,2022-12-01,8416396,Besos Moja2,Wisin & Yandel & ROSALÍA,2022-09-29,es,8416396,774585,interpolates,,,,,,774585,Besos Mojados,Wisin & Yandel,2009-05-26,
86.0,spotify:track:58cEG7FsVoipRiRKUMgOjo,PUNTO 40,Rauw Alejandro,2023-01-24,8400037,PUNTO 40,Rauw Alejandro & Baby Rasta,2022-09-22,es,8400037,7494813,samples,,,,,,7494813,Tengo Una Punto 40,Baby Rasta y Gringo,1996-01-01,
86.0,spotify:track:58cEG7FsVoipRiRKUMgOjo,PUNTO 40,Rauw Alejandro,2023-01-24,8400037,PUNTO 40,Rauw Alejandro & Baby Rasta,2022-09-22,es,8400037,7494813,interpolates,,,,,,7494813,Tengo Una Punto 40,Baby Rasta y Gringo,1996-01-01,
87.0,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,2018-03-30,3614919,Call Out My Name,The Weeknd,2018-03-30,en,3614919,54477,samples,,,,,,54477,The Birds Pt. 2,The Weeknd,2011-08-18,
87.0,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,2018-03-30,3614919,Call Out My Name,The Weeknd,2018-03-30,en,3614919,2866981,samples,,,,,,2866981,Killing Time,Nicolás Jaar,2016-09-30,
87.0,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,2018-03-30,3614919,Call Out My Name,The Weeknd,2018-03-30,en,3614919,639914,samples,,,,,,639914,Earned It,The Weeknd,2014-12-17,
87.0,spotify:track:09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,2018-03-30,3614919,Call Out My Name,The Weeknd,2018-03-30,en,3614919,4431789,interpolates,,,,,,4431789,On Top,The Weeknd,,
