from_genius_id,to_genius_id,type
8936455,2132594,samples
8936455,515195,samples
8936455,2331348,samples
8936455,6492688,samples
8936455,2913487,samples
8956165,476552,samples
8956165,158635,samples
8956165,188401,samples
9285676,57225,interpolates
9285676,11227069,interpolates
9176543,3257316,interpolates
8701915,118904,interpolates
7967937,7972831,samples
9306732,2411062,interpolates
9191117,1155457,interpolates
9255881,1629,interpolates
6490368,9286144,interpolates
6490368,2441478,interpolates
9176549,329470,samples
9173262,6568510,samples
9173262,8127535,samples
9188387,3266237,samples
8902635,4611729,interpolates
7967960,7124700,samples
7614295,3570255,samples
9277721,9095625,interpolates
91785,805073,samples
9324010,1844758,interpolates
8293941,11268,interpolates
9301451,476934,samples
7325335,2304073,samples
9084946,9994333,samples
9254024,2340317,interpolates
5154782,2245773,interpolates
8693051,33071,interpolates
9346110,4862771,interpolates
9346063,2179425,samples
9138823,30280,samples
9339189,110040,samples
9354764,17110,samples
9354764,3797175,samples
9354764,9104119,interpolates
9354764,10002543,interpolates
6503347,2467891,samples
6503347,6693195,samples
6503347,9368885,interpolates
9368451,3801824,samples
9368451,9370596,samples
9368451,622818,samples
9368451,9395762,samples
9368451,3808445,interpolates
9368451,139286,interpolates
9368501,747436,samples
9368501,1000369,interpolates
9344253,1250046,samples
9344253,116531,interpolates
9344253,2968864,interpolates
9362817,2016131,interpolates
9320305,373154,samples
9260202,3844,samples
9260202,28086,samples
9260202,8558961,samples
9368448,152933,interpolates
9279968,2257921,interpolates
9368463,2889937,samples
9368463,146928,samples
9368463,3893090,interpolates
9368463,48367,interpolates
9368463,522948,interpolates
9368463,3429382,interpolates
8918742,8693522,interpolates
8068179,523384,interpolates
9255876,8220614,interpolates
9388747,121287,samples
8465484,9368607,interpolates
8465484,3405,interpolates
9354510,9369010,samples
9354510,6021673,samples
5780833,9408880,samples
5780833,8273583,interpolates
9368453,10905072,samples
9368453,5666,interpolates
9368453,167267,interpolates
9368453,92853,interpolates
9368453,152626,interpolates
9160899,836000,interpolates
2911557,345021,interpolates
9388859,849,samples
9388859,2196,interpolates
9388859,5412168,interpolates
9368445,67669,samples
9368445,1107777,samples
9368445,9370559,samples
9368445,71969,samples
9368445,10078917,interpolates
9368460,5428491,interpolates
8232275,889075,samples
8942776,282653,samples
9203706,158635,interpolates
9246653,9138047,interpolates
9424051,2439197,interpolates
8240927,7802828,interpolates
8987253,776113,interpolates
4499585,410195,interpolates
8431515,7051170,samples
8431515,7137816,interpolates
9433018,2430486,interpolates
9357313,5835,samples
8804650,1463574,interpolates
9237778,1794525,interpolates
9368446,9380488,interpolates
8601684,5053007,samples
8601684,3088164,samples
9446620,4332924,interpolates
9445909,2301059,samples
9445909,6755160,interpolates
21248,3147102,samples
9085470,1412050,samples
9438802,203940,interpolates
9305136,523384,samples
9151365,204507,samples
8317147,2204,samples
6866266,10096811,samples
7916903,6939300,interpolates
9046027,1463185,samples
9386661,6977076,interpolates
9386661,4739293,interpolates
8197996,19348,samples
8197996,11214414,interpolates
8706227,3604175,interpolates
4595372,1625628,interpolates
4595372,3399990,interpolates
9200451,1383,interpolates
9228106,109096,interpolates
8471915,4084377,interpolates
9368456,6326181,samples
9368456,5780855,interpolates
9368456,8324318,interpolates
9368456,50895,interpolates
9368456,559442,interpolates
9379104,169421,interpolates
9474040,7773521,interpolates
9160861,1362779,samples
9160861,374662,interpolates
64761,152694,samples
87337,3063577,samples
9500112,62493,samples
