spotifyId,trackName,artistName,releaseDate,geniusId,geniusTrackName,geniusArtistName,geniusReleaseDate,trackLanguage
spotify:track:5etNJIDM60NiNQki6Iqzmn,TATTOO,FiNCH,2023-06-01,8794045,TATTOO,"FiNCH, HBz & 2 Engel & Charlie",2023-02-03,de
spotify:track:0fNYJMvRcSBEC4zK3SClpK,Weisse Orchideen,Samra,2023-01-20,8692081,Weiße Orchideen,Samra,2023-01-20,en
spotify:track:1NAEIUBOWGIwSSFNvMDA2k,Unzertrennlich,Rosc,2023-02-02,8781697,Unzertrennlich,Rosc,2023-02-02,de
spotify:track:3LOHsgqR4FVlGKMsViFlFL,Classic,Soufian,2023-02-23,8857489,Classic,Soufian & SOTT,2023-02-23,de
spotify:track:1635wWSdp29PO3GxYhy991,Bel Mercy,Jengi,2022-12-02,8640631,Bel Mercy,Jengi,2022-12-02,en
spotify:track:2Ic4yeE0arD9AZ4RIbixFU,ATHENA,HoodBlaq,2023-02-03,8788758,ATHENA,HoodBlaq,2023-02-03,de
spotify:track:0ifte8wzZZFwA8XNHYejwH,Geldbaum,Tarek K.I.Z,2023-02-24,8857258,Geldbaum,Tarek K.I.Z & Drunken Masters (Ft. Maxim K.I.Z & Nico K.I.Z),2023-02-24,de
spotify:track:7xqTCITPEJ1l08ui4Xe8rB,Glas,Nina Chuba,2023-02-24,8543561,Glas,Nina Chuba,2023-02-24,de
spotify:track:4oVybfplzr7ES6sOEWZIHe,Solo,Nina Chuba,2023-02-24,8543568,Solo,Nina Chuba,2023-02-24,de
spotify:track:4N5s8lPTsjI9EGP7K4SXzB,Green Green Grass,George Ezra,2022-06-10,7663326,Green Green Grass,George Ezra,2022-04-22,en
spotify:track:2WXMOq2PNFW7qCHEkCyDpt,Marciapiedi (feat. Gemitaiz),Lovegang126,2023-03-01,8872561,Marciapiedi,Lovegang126 (Ft. Gemitaiz),2023-03-01,it
spotify:track:4w3e5GzHMYLmkL2eAKE13Q,'O DJ (DON'T GIVE UP),LIBERATO,2023-03-02,8881274,’O DJ (DON’T GIVE UP),LIBERATO,2023-03-03,it
spotify:track:2A90SdsgdKkx16nztUIluL,Nuvole in testa,Ultimo,2023-02-17,8746352,Nuvole in testa,Ultimo,2023-02-17,it
spotify:track:5zfUKIkOzlbzPNOsQD9VGC,GALGO,Belén Aguilera,2023-02-24,8842834,GALGO,Belén Aguilera,2023-02-24,es
spotify:track:79Mko9WRph1VIsxiUom4zv,Solo $exo,Myke Towers,2023-02-14,8819068,Solo $exo,Myke Towers,2023-02-14,es
spotify:track:7Cg58yt6PVyvckydVLRZsp,Uno los Dos,Miranda!,2023-02-24,873167,Uno Los Dos,Miranda​!,2004-01-01,es
spotify:track:3jUDqkHatwtprUmZ8epP8P,DAÑAMOS LA AMISTAD,KAROL G,2023-02-24,8814265,DAÑAMOS LA AMISTAD,KAROL G & Sech,2023-02-24,es
spotify:track:17BqQS5Cj899fQR8e6gvk9,Patio de la Cárcel - Tangos,Omar Montes,2022-11-24,8584531,Patio de la Cárcel (Tangos),Omar Montes & Farruko,2022-11-25,es
spotify:track:2zQvtkghOHiBG48Bj0oFR9,Cicatrices,Natos y Waor,2018-02-13,3338382,Cicatrices,Natos y Waor,2017-11-27,es
spotify:track:0O0kmHHBUG4YCqrKvMnmQy,yo pr1mero,Rels B,2023-01-30,8757004,​​yo pr1mero,Rels B,2023-01-30,es
spotify:track:57Ba26w9eoXx8BBUNgRNLV,La Forma en Que Me Miras,Super Yei,2020-04-20,3879994,La Forma En Que Me Miras,"Super Yei (Ft. Lenny Tavárez, Myke Towers, Rafa Pabön & Sammy Baby (PR))",2018-08-04,es
spotify:track:3MBNAfBXIq9fI2Sez8EcNX,Si Quieren Frontear,Duki,2022-07-20,6880250,Si Quieren Frontear,"Duki, De La Ghetto & Quevedo",2022-03-31,es
spotify:track:1rEsfHhBFTuTPekF8M5O3f,La Triple T,TINI,2023-02-16,7946255,La Triple T,TINI,2022-05-05,es
spotify:track:7rJ1eWSl8VIoKW9Qj7ImSU,DONDE QUIERO ESTAR,Quevedo,2023-01-20,8337643,DONDE QUIERO ESTAR,Quevedo,2023-01-20,es
spotify:track:5HavMB9WGE33KK6NL8XjXl,Fetty Wap,Maes,2022-11-09,8532395,Fetty Wap,Maes,2022-11-09,fr
spotify:track:3NzxPt9QFCTsFBQ0wPVTDe,Galactic,Maes,2023-01-05,8662386,Galactic,Maes,2023-01-06,en
spotify:track:1yFo7Eryhdnz05dHBeQ8z4,Mayday,Djadja & Dinaz,2023-03-17,8837536,Mayday,Djadja & Dinaz,2023-03-03,fr
spotify:track:7qx3w7lt835fZHzeUquGj4,Moi aussi,Djadja & Dinaz,2023-03-17,8837538,Moi aussi,Djadja & Dinaz,2023-03-03,fr
spotify:track:0rogG0xr0c3Fdxdm0co3aK,10.03.2023,Werenoi,2023-02-23,8853998,10.03.2023,Werenoi,2023-02-23,fr
spotify:track:6fu1FCLI1Rz39PCezBa6Zi,Toujours la même,Djadja & Dinaz,2023-03-17,8837540,Toujours la même,Djadja & Dinaz,2023-03-03,fr
spotify:track:0xiMdJVrFh8Al0dRowFu76,Opaque,Maes,2023-02-15,8807607,Opaque,Maes,2023-02-15,en
spotify:track:0uiPpNWmDrAHmUo2qoZKkr,L'essentiel,Djadja & Dinaz,2023-03-17,8837541,L’essentiel,Djadja & Dinaz,2023-03-03,fr
spotify:track:3xQpQX1TkLTiqzlsYG8EnO,J'réfléchis,Djadja & Dinaz,2023-03-17,8837543,J’réfléchis,Djadja & Dinaz,2023-03-03,fr
spotify:track:0L7UbnUoxbr6JhbcvB0wsU,Envahir,Djadja & Dinaz,2023-03-17,8837542,Envahir,Djadja & Dinaz,2023-03-03,fr
spotify:track:0uIw2Q23XzaRWpklQe7k91,Outro,Djadja & Dinaz,2023-03-17,8837547,Outro,Djadja & Dinaz,2023-03-03,fr
spotify:track:2d9sh26IEyYOGWGPp3HdXB,Honey Damoiseau,SenSey',2023-03-03,8892910,Honey Damoiseau,SenSey’ (Ft. Joé Dwèt Filé),2023-03-03,fr
spotify:track:7vbvKKhQvQBLqmeFNWcDey,Keyser Söze,Jul,2023-03-02,8879605,Keyser Söze,JuL,2023-03-02,fr
spotify:track:3ipAYgF0kfcdPrebbd6uCt,Le métier,Djadja & Dinaz,2023-03-17,8837545,Le métier,Djadja & Dinaz,2023-03-03,fr
spotify:track:2l2lch9RMo4EWHXmadEkQP,Coller,Djadja & Dinaz,2023-03-17,8837544,Coller,Djadja & Dinaz,2023-03-03,fr
spotify:track:5nsudmQITqpqLEhVHRbw6X,Everyday,Djadja & Dinaz,2023-03-17,8837546,Everyday,Djadja & Dinaz,2023-03-03,fr
spotify:track:2gS8lDl64QTXdeIzWxLrJG,Te Amo - DJ Youcef Remix,Calema,2022-07-01,10976359,Te Amo (DJ Youcef Remix),Calema & DJ Youcef,2022-07-01,fr
spotify:track:3XVU5qvlZzaQVob4WdZeHb,Intro,Djadja & Dinaz,2023-03-17,8837532,Intro,Djadja & Dinaz,2023-03-03,fr
spotify:track:5nPUi1FjzXA2Ur35LIS0X3,Tsunami,Hamza,2023-02-17,8779349,Tsunami,Hamza,2023-02-17,fr
spotify:track:6mq2UNgparrHZkswdKEPdX,Only U,Hamza,2023-02-17,8779348,Only U,Hamza,2023-02-17,fr
spotify:track:5uiQynC3Gq7tR7U41BONTF,I'm So Excited,Sound Of Legend,2022-10-14,8704251,I’m So Excited,Sound Of Legend,2022-10-14,en
spotify:track:0CitnMiir1iHir200qSW1P,ILS ONT PÉTÉ,Gambi,2023-03-03,8852154,ILS ONT PÉTÉ,Gambi,2023-03-03,en
spotify:track:1O24bvBF0RFdZMn5qTk8bs,Lola - Version acoustique,RK,2022-12-09,8856816,LOLA (Version acoustique),RK,2023-02-23,fr
spotify:track:1IgcNqvHMUrRLMfzlkE4h8,Burn Out (Creed III),Dinos,2023-02-23,8824263,Burn Out,Dinos,2023-02-24,fr
spotify:track:5NV2E7EClr01hmQYLyoDOr,Double K,Kaaris,2023-02-23,8838246,Double K,Kaaris (Ft. Kerchak),2023-02-24,en
spotify:track:3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,Sam Smith,2023-01-27,8490754,I’m Not Here To Make Friends,Sam Smith,2023-01-27,en
spotify:track:717QGTmZdkemDaCo1vQHG0,Bande organisée,13 Organisé,2020-10-30,5847469,Bande organisée,"13 Organisé (Ft. Elams, Houari, JuL, Kofs, Naps, SCH, Solda (FRA) & Soso Maness)",2020-08-15,fr
spotify:track:6kjNnf3xoreZJHvZ1oSARR,Cocoro,Hamza,2023-02-17,8779353,Cocoro,Hamza (Ft. CKay),2023-02-17,fr
spotify:track:3BaGyruhFKKP6f8e2koRri,Zoo,Kaaris,2013-01-01,111833,Zoo,Kaaris,2013-01-25,fr
spotify:track:4DRF0J8DUc5GPzcbOTD1gu,Salomé,Tayc,2021-11-19,7427614,Salomé,Tayc,2021-11-26,fr
spotify:track:1RzYbdi195H1EBBNi288u7,Bobo au corazon,Jul,2023-03-03,8883968,Bobo au Corazon,JuL,2023-03-03,fr
spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,2023-08-18,8689815,Flowers,Miley Cyrus,2023-01-13,en
spotify:track:7oDd86yk8itslrA9HRP2ki,Die For You - Remix,The Weeknd,2023-02-24,8855026,Die For You (Remix),The Weeknd & Ariana Grande,2023-02-24,en
